file_path,timestamp,latitude,longitude
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\20220104_091410.jpg,2024-02-28 10:28:35+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-100.jpg,2024-02-28 10:27:40+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-101.jpg,2024-02-28 10:28:35+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-102.jpg,2024-02-28 10:29:03+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-103.jpg,2024-02-28 10:29:21+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-105.jpg,2024-02-28 10:30:03+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-106.jpg,2024-02-28 10:30:15+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-107.jpg,2024-02-28 10:30:19+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-139.jpg,2024-02-28 10:48:45+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-143.jpg,2024-02-28 10:49:17+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-144.jpg,2024-02-28 10:49:19+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-145.jpg,2024-02-28 10:55:51+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-146.jpg,2024-02-28 10:57:24+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-156.jpg,2024-02-28 11:20:59+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-179.jpg,2024-02-28 11:56:02+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-182.jpg,2024-02-28 11:57:04+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-97.jpg,2024-02-28 10:21:26+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-98.jpg,2024-02-28 10:21:47+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\Edenred-99.jpg,2024-02-28 10:25:13+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\_Edenred-186.jpg,2024-02-28 12:46:59+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\_Edenred-187.jpg,2024-02-28 12:47:03+00:00,,
x:\Photos\2024.02.28 - Summit - PI0 planning - Bucharest\_Edenred-188.jpg,2024-02-28 12:49:42+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6116.JPG,2024-09-01 19:24:01+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6114.JPG,2024-09-01 19:24:00+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6115.JPG,2024-09-01 19:24:01+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6113.JPG,2024-09-01 19:23:59+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0442.JPG,2024-08-04 16:46:43+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0996.JPG,2024-08-04 12:25:11+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\D071B15D-AB29-407C-B9C7-27F7C8B9AB8A.jpg,2024-08-11 01:01:57+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\WhatsApp Image 2024-09-05 at 20.07.25.jpeg,2024-09-01 19:24:35+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0432.jpg,2024-08-04 15:36:37+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0436.jpg,2024-08-04 15:58:59+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0438.jpg,2024-08-04 16:42:24+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0440.jpg,2024-08-04 16:46:08+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0486.jpg,2024-08-10 16:53:19+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0487.jpg,2024-08-10 16:57:14+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0488.jpg,2024-08-10 16:57:31+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0489.jpg,2024-08-10 16:57:31+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0490.jpg,2024-08-10 16:57:32+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0540.jpg,2024-08-11 16:40:45+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0541.jpg,2024-08-11 16:40:46+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0563.jpg,2024-08-14 18:06:50+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0970.jpg,2024-08-17 22:15:59+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0971.jpg,2024-08-17 22:16:01+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0983.jpg,2024-08-04 09:21:51+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0990.jpg,2024-08-04 12:08:40+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0993.jpg,2024-08-04 12:09:04+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0994.jpg,2024-08-04 12:19:44+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0998(1).jpg,2024-08-04 12:26:35+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_0999(1).jpg,2024-08-04 12:26:37+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1001(1).jpg,2024-08-04 12:26:39+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1002(1).jpg,2024-08-04 12:27:35+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1003(1).jpg,2024-08-04 12:27:52+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1005(1).jpg,2024-08-04 12:28:46+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1006.jpg,2024-08-04 12:29:16+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1007.jpg,2024-08-04 12:29:17+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1010.jpg,2024-08-04 12:30:49+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1012.jpg,2024-08-04 12:31:11+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1013.jpg,2024-08-04 12:31:16+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1014.jpg,2024-08-04 12:31:17+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1015.jpg,2024-08-04 12:31:19+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1019.jpg,2024-08-04 13:30:31+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1020.jpg,2024-08-04 13:30:35+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1023.jpg,2024-08-04 14:27:14+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1027.jpg,2024-08-04 14:29:05+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1035.jpg,2024-08-04 15:38:33+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1037.jpg,2024-08-04 15:39:05+00:00,,
